"Plot Title: 9866542"
"#","Date","Time, GMT-07:00","Temp, °C (LGR S/N: 9866542)","Coupler Detached (LGR S/N: 9866542)","Coupler Attached (LGR S/N: 9866542)","Host Connected (LGR S/N: 9866542)","Stopped (LGR S/N: 9866542)","End Of File (LGR S/N: 9866542)"
1,06/19/2012,12:00:00,21.008,Logged,,,,
2,06/19/2012,12:15:00,21.342,,,,,
3,06/19/2012,12:30:00,21.652,,,,,
4,06/19/2012,12:45:00,22.011,,,,,
5,06/19/2012,13:00:00,22.776,,,,,
6,06/19/2012,13:15:00,23.737,,,,,
7,06/19/2012,13:30:00,24.774,,,,,
8,06/19/2012,13:45:00,25.380,,,,,
9,06/19/2012,14:00:00,25.574,,,,,
10,06/19/2012,14:15:00,28.791,,,,,
11,06/19/2012,14:30:00,35.475,,,,,
12,06/19/2012,14:45:00,34.413,,,,,
13,06/19/2012,15:00:00,34.783,,,,,
14,06/19/2012,15:15:00,36.851,,,,,
15,06/19/2012,15:30:00,20.007,,,,,
16,06/19/2012,15:45:00,18.675,,,,,
17,06/19/2012,16:00:00,18.176,,,,,
18,06/19/2012,16:15:00,17.891,,,,,
19,06/19/2012,16:30:00,17.724,,,,,
20,06/19/2012,16:45:00,17.653,,,,,
21,06/19/2012,17:00:00,17.510,,,,,
22,06/19/2012,17:15:00,17.415,,,,,
23,06/19/2012,17:30:00,17.368,,,,,
24,06/19/2012,17:45:00,17.320,,,,,
25,06/19/2012,18:00:00,17.249,,,,,
26,06/19/2012,18:15:00,17.177,,,,,
27,06/19/2012,18:30:00,17.130,,,,,
28,06/19/2012,18:45:00,17.034,,,,,
29,06/19/2012,19:00:00,16.987,,,,,
30,06/19/2012,19:15:00,16.963,,,,,
31,06/19/2012,19:30:00,16.915,,,,,
32,06/19/2012,19:45:00,16.868,,,,,
33,06/19/2012,20:00:00,16.844,,,,,
34,06/19/2012,20:15:00,16.820,,,,,
35,06/19/2012,20:30:00,16.796,,,,,
36,06/19/2012,20:45:00,16.796,,,,,
37,06/19/2012,21:00:00,16.796,,,,,
38,06/19/2012,21:15:00,16.796,,,,,
39,06/19/2012,21:30:00,16.773,,,,,
40,06/19/2012,21:45:00,16.796,,,,,
41,06/19/2012,22:00:00,16.773,,,,,
42,06/19/2012,22:15:00,16.773,,,,,
43,06/19/2012,22:30:00,16.773,,,,,
44,06/19/2012,22:45:00,16.725,,,,,
45,06/19/2012,23:00:00,16.701,,,,,
46,06/19/2012,23:15:00,16.677,,,,,
47,06/19/2012,23:30:00,16.654,,,,,
48,06/19/2012,23:45:00,16.606,,,,,
49,06/20/2012,00:00:00,16.582,,,,,
50,06/20/2012,00:15:00,16.534,,,,,
51,06/20/2012,00:30:00,16.511,,,,,
52,06/20/2012,00:45:00,16.463,,,,,
53,06/20/2012,01:00:00,16.415,,,,,
54,06/20/2012,01:15:00,16.392,,,,,
55,06/20/2012,01:30:00,16.344,,,,,
56,06/20/2012,01:45:00,16.320,,,,,
57,06/20/2012,02:00:00,16.272,,,,,
58,06/20/2012,02:15:00,16.225,,,,,
59,06/20/2012,02:30:00,16.177,,,,,
60,06/20/2012,02:45:00,16.129,,,,,
61,06/20/2012,03:00:00,16.106,,,,,
62,06/20/2012,03:15:00,16.034,,,,,
63,06/20/2012,03:30:00,15.986,,,,,
64,06/20/2012,03:45:00,15.915,,,,,
65,06/20/2012,04:00:00,15.867,,,,,
66,06/20/2012,04:15:00,15.819,,,,,
67,06/20/2012,04:30:00,15.748,,,,,
68,06/20/2012,04:45:00,15.700,,,,,
69,06/20/2012,05:00:00,15.652,,,,,
70,06/20/2012,05:15:00,15.581,,,,,
71,06/20/2012,05:30:00,15.533,,,,,
72,06/20/2012,05:45:00,15.461,,,,,
73,06/20/2012,06:00:00,15.414,,,,,
74,06/20/2012,06:15:00,15.366,,,,,
75,06/20/2012,06:30:00,15.318,,,,,
