"Plot Title: 9859132"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9859132, SEN S/N: 9859132)","Coupler Detached (LGR S/N: 9859132)","Coupler Attached (LGR S/N: 9859132)","Stopped (LGR S/N: 9859132)","End Of File (LGR S/N: 9859132)"
1,08/04/14 11:15:00 AM,22.465,Logged,,,
2,08/04/14 11:30:00 AM,22.489,,,,
3,08/04/14 11:45:00 AM,22.537,,,,
4,08/04/14 12:00:00 PM,22.633,,,,
5,08/04/14 12:15:00 PM,22.657,,,,
6,08/04/14 12:30:00 PM,22.681,,,,
7,08/04/14 12:45:00 PM,22.681,,,,
8,08/04/14 01:00:00 PM,22.705,,,,
9,08/04/14 01:15:00 PM,22.705,,,,
10,08/04/14 01:30:00 PM,22.705,,,,
11,08/04/14 01:45:00 PM,22.705,,,,
12,08/04/14 02:00:00 PM,22.681,,,,
13,08/04/14 02:15:00 PM,22.681,,,,
14,08/04/14 02:30:00 PM,22.681,,,,
15,08/04/14 02:45:00 PM,22.705,,,,
16,08/04/14 03:00:00 PM,22.729,,,,
17,08/04/14 03:15:00 PM,22.753,,,,
18,08/04/14 03:30:00 PM,22.776,,,,
19,08/04/14 03:45:00 PM,22.776,,,,
20,08/04/14 04:00:00 PM,22.824,,,,
21,08/04/14 04:15:00 PM,22.824,,,,
22,08/04/14 04:30:00 PM,22.848,,,,
23,08/04/14 04:45:00 PM,22.824,,,,
24,08/04/14 05:00:00 PM,22.824,,,,
25,08/04/14 05:15:00 PM,22.824,,,,
26,08/04/14 05:30:00 PM,22.824,,,,
27,08/04/14 05:45:00 PM,22.800,,,,
28,08/04/14 06:00:00 PM,22.800,,,,
29,08/04/14 06:15:00 PM,22.800,,,,
30,08/04/14 06:30:00 PM,22.776,,,,
31,08/04/14 06:45:00 PM,22.776,,,,
32,08/04/14 07:00:00 PM,22.776,,,,
33,08/04/14 07:15:00 PM,22.753,,,,
34,08/04/14 07:30:00 PM,22.753,,,,
35,08/04/14 07:45:00 PM,22.729,,,,
36,08/04/14 08:00:00 PM,22.705,,,,
37,08/04/14 08:15:00 PM,22.681,,,,
38,08/04/14 08:30:00 PM,22.657,,,,
39,08/04/14 08:45:00 PM,22.633,,,,
40,08/04/14 09:00:00 PM,22.609,,,,
41,08/04/14 09:15:00 PM,22.585,,,,
42,08/04/14 09:30:00 PM,22.561,,,,
43,08/04/14 09:45:00 PM,22.537,,,,
44,08/04/14 10:00:00 PM,22.513,,,,
45,08/04/14 10:15:00 PM,22.489,,,,
46,08/04/14 10:30:00 PM,22.489,,,,
47,08/04/14 10:45:00 PM,22.465,,,,
48,08/04/14 11:00:00 PM,22.441,,,,
49,08/04/14 11:15:00 PM,22.417,,,,
50,08/04/14 11:30:00 PM,22.393,,,,
51,08/04/14 11:45:00 PM,22.369,,,,
52,08/05/14 12:00:00 AM,22.345,,,,
53,08/05/14 12:15:00 AM,22.321,,,,
54,08/05/14 12:30:00 AM,22.298,,,,
55,08/05/14 12:45:00 AM,22.274,,,,
56,08/05/14 01:00:00 AM,22.250,,,,
57,08/05/14 01:15:00 AM,22.226,,,,
58,08/05/14 01:30:00 AM,22.226,,,,
59,08/05/14 01:45:00 AM,22.202,,,,
60,08/05/14 02:00:00 AM,22.178,,,,
61,08/05/14 02:15:00 AM,22.154,,,,
62,08/05/14 02:30:00 AM,22.154,,,,
63,08/05/14 02:45:00 AM,22.130,,,,
64,08/05/14 03:00:00 AM,22.106,,,,
65,08/05/14 03:15:00 AM,22.082,,,,
66,08/05/14 03:30:00 AM,22.082,,,,
67,08/05/14 03:45:00 AM,22.058,,,,
68,08/05/14 04:00:00 AM,22.034,,,,
69,08/05/14 04:15:00 AM,22.034,,,,
70,08/05/14 04:30:00 AM,22.011,,,,
71,08/05/14 04:45:00 AM,21.987,,,,
