Serial_number:
1034999
Project ID:
CWS
Location:
MFA
Level
UNIT: m
Offset: 0.000000 m
Altitude: 196.000000 m
Density: 1.000000 kg/L
Temperature
UNIT: Deg C
Date,Time,ms,Level,Temperature
2014/08/20,12:00:00,0,0.7718,27.614
2014/08/20,12:15:00,0,1.3493,17.135
2014/08/20,12:30:00,0,1.3449,16.580
2014/08/20,12:45:00,0,1.3436,16.533
2014/08/20,13:00:00,0,1.3406,16.575
2014/08/20,13:15:00,0,1.3388,16.659
2014/08/20,13:30:00,0,1.3368,16.773
2014/08/20,13:45:00,0,1.3394,16.889
2014/08/20,14:00:00,0,1.3581,16.984
2014/08/20,14:15:00,0,1.4252,17.094
2014/08/20,14:30:00,0,1.5270,17.224
2014/08/20,14:45:00,0,1.5991,17.351
2014/08/20,15:00:00,0,1.6401,17.418
2014/08/20,15:15:00,0,1.6619,17.460
2014/08/20,15:30:00,0,1.6721,17.470
2014/08/20,15:45:00,0,1.6803,17.452
2014/08/20,16:00:00,0,1.6831,17.406
2014/08/20,16:15:00,0,1.6837,17.304
2014/08/20,16:30:00,0,1.6868,17.186
2014/08/20,16:45:00,0,1.6832,17.042
2014/08/20,17:00:00,0,1.6814,16.916
2014/08/20,17:15:00,0,1.6713,16.785
2014/08/20,17:30:00,0,1.6608,16.704
2014/08/20,17:45:00,0,1.6486,16.612
2014/08/20,18:00:00,0,1.6315,16.555
2014/08/20,18:15:00,0,1.6151,16.515
2014/08/20,18:30:00,0,1.5977,16.485
2014/08/20,18:45:00,0,1.5814,16.447
2014/08/20,19:00:00,0,1.5657,16.401
2014/08/20,19:15:00,0,1.5530,16.358
2014/08/20,19:30:00,0,1.5395,16.306
2014/08/20,19:45:00,0,1.5270,16.265
2014/08/20,20:00:00,0,1.5144,16.228
2014/08/20,20:15:00,0,1.5048,16.185
2014/08/20,20:30:00,0,1.4912,16.166
2014/08/20,20:45:00,0,1.4800,16.136
2014/08/20,21:00:00,0,1.4670,16.116
2014/08/20,21:15:00,0,1.4578,16.103
2014/08/20,21:30:00,0,1.4480,16.088
2014/08/20,21:45:00,0,1.4368,16.074
2014/08/20,22:00:00,0,1.4280,16.059
2014/08/20,22:15:00,0,1.4171,16.042
2014/08/20,22:30:00,0,1.4077,16.029
2014/08/20,22:45:00,0,1.3966,16.018
2014/08/20,23:00:00,0,1.3868,16.007
2014/08/20,23:15:00,0,1.3789,15.992
2014/08/20,23:30:00,0,1.3712,15.980
2014/08/20,23:45:00,0,1.3644,15.969
2014/08/21,00:00:00,0,1.3567,15.955
2014/08/21,00:15:00,0,1.3493,15.941
2014/08/21,00:30:00,0,1.3428,15.929
2014/08/21,00:45:00,0,1.3377,15.911
2014/08/21,01:00:00,0,1.3317,15.897
2014/08/21,01:15:00,0,1.3257,15.883
2014/08/21,01:30:00,0,1.3203,15.865
2014/08/21,01:45:00,0,1.3159,15.854
2014/08/21,02:00:00,0,1.3113,15.837
2014/08/21,02:15:00,0,1.3083,15.821
2014/08/21,02:30:00,0,1.3050,15.804
2014/08/21,02:45:00,0,1.3015,15.780
2014/08/21,03:00:00,0,1.2991,15.763
2014/08/21,03:15:00,0,1.2964,15.749
2014/08/21,03:30:00,0,1.2932,15.728
