Serial_number:
1024481
Project ID:
CWS_2014
Location:
NFY
Level
UNIT: m
Offset: 0.000000 m
Altitude: 715.000000 m
Temperature
UNIT: Deg C
Date,Time,ms,Level,Temperature
2015/02/06,07:15:00,0,-5.3349,6.730
2015/02/06,07:30:00,0,-5.5777,6.733
2015/02/06,07:45:00,0,-5.8156,6.739
2015/02/06,08:00:00,0,-6.0446,6.744
2015/02/06,08:15:00,0,-6.3004,6.750
2015/02/06,08:30:00,0,-6.5552,6.760
2015/02/06,08:45:00,0,-6.8045,6.770
2015/02/06,09:00:00,0,-7.0455,6.783
2015/02/06,09:15:00,0,-7.2864,6.792
2015/02/06,09:30:00,0,-7.5306,6.800
2015/02/06,09:45:00,0,-7.7716,6.809
2015/02/06,10:00:00,0,-8.0106,6.822
2015/02/06,10:15:00,0,-8.2412,6.833
2015/02/06,10:30:00,0,-7.9546,6.844
2015/02/06,10:45:00,0,-8.1074,6.854
2015/02/06,11:00:00,0,-8.1159,6.862
2015/02/06,11:15:00,0,-8.1036,6.867
2015/02/06,11:30:00,0,-8.0997,6.870
2015/02/06,11:45:00,0,-8.1066,6.875
2015/02/06,12:00:00,0,-8.1073,6.879
2015/02/06,12:15:00,0,-8.1098,6.885
2015/02/06,12:30:00,0,-8.2531,6.897
2015/02/06,12:45:00,0,-8.2588,6.906
2015/02/06,13:00:00,0,-8.2546,6.915
2015/02/06,13:15:00,0,-8.2527,6.923
2015/02/06,13:30:00,0,-8.2439,6.933
2015/02/06,13:45:00,0,-8.2348,6.943
2015/02/06,14:00:00,0,-8.2491,6.952
2015/02/06,14:15:00,0,-8.2407,6.958
2015/02/06,14:30:00,0,-8.2540,6.967
2015/02/06,14:45:00,0,-8.2437,6.975
2015/02/06,15:00:00,0,-8.2250,6.982
2015/02/06,15:15:00,0,-8.2214,6.991
2015/02/06,15:30:00,0,-8.2100,6.998
2015/02/06,15:45:00,0,-8.2105,7.005
2015/02/06,16:00:00,0,-8.2123,7.013
2015/02/06,16:15:00,0,-8.2122,7.021
2015/02/06,16:30:00,0,-8.2055,7.025
2015/02/06,16:45:00,0,-8.2055,7.028
2015/02/06,17:00:00,0,-8.1893,7.032
2015/02/06,17:15:00,0,-8.1828,7.037
2015/02/06,17:30:00,0,-8.1779,7.042
2015/02/06,17:45:00,0,-8.1735,7.052
2015/02/06,18:00:00,0,-8.1651,7.062
2015/02/06,18:15:00,0,-8.1482,7.075
2015/02/06,18:30:00,0,-8.1350,7.087
2015/02/06,18:45:00,0,-8.1139,7.100
2015/02/06,19:00:00,0,-8.0930,7.112
2015/02/06,19:15:00,0,-8.0935,7.120
2015/02/06,19:30:00,0,-8.0730,7.127
2015/02/06,19:45:00,0,-8.0582,7.136
2015/02/06,20:00:00,0,-8.0518,7.148
2015/02/06,20:15:00,0,-8.0246,7.169
2015/02/06,20:30:00,0,-8.0204,7.188
2015/02/06,20:45:00,0,-8.0055,7.209
2015/02/06,21:00:00,0,-7.9861,7.231
2015/02/06,21:15:00,0,-7.9719,7.254
2015/02/06,21:30:00,0,-7.9504,7.277
2015/02/06,21:45:00,0,-7.9122,7.295
2015/02/06,22:00:00,0,-7.9054,7.313
2015/02/06,22:15:00,0,-7.8632,7.331
2015/02/06,22:30:00,0,-7.8436,7.351
2015/02/06,22:45:00,0,-7.8247,7.365
2015/02/06,23:00:00,0,-7.8018,7.378
2015/02/06,23:15:00,0,-7.7771,7.391
2015/02/06,23:30:00,0,-7.7712,7.407
2015/02/06,23:45:00,0,-7.7498,7.425
2015/02/07,00:00:00,0,-7.7329,7.446
2015/02/07,00:15:00,0,-7.7317,7.466
2015/02/07,00:30:00,0,-7.7202,7.489
2015/02/07,00:45:00,0,-7.6762,7.523
2015/02/07,01:00:00,0,-7.6527,7.551
2015/02/07,01:15:00,0,-7.6053,7.582
2015/02/07,01:30:00,0,-7.5597,7.617
2015/02/07,01:45:00,0,-7.5000,7.646
2015/02/07,02:00:00,0,-7.4458,7.676
2015/02/07,02:15:00,0,-7.3957,7.707
2015/02/07,02:30:00,0,-7.3304,7.733
2015/02/07,02:45:00,0,-7.2607,7.761
