Serial_number:
1024449
Project ID:
UCD_CWS
Location:
Rubicon
Level
UNIT: m
Offset: 0.000000 m
Altitude: 426.000000 m
Density: 1.000000 kg/L
Temperature
UNIT: Deg C
Date,Time,ms,Level,Temperature
2015/02/27,12:00:00,0,1.7037,8.120
2015/02/27,12:15:00,0,1.6990,8.011
2015/02/27,12:30:00,0,1.6945,8.158
2015/02/27,12:45:00,0,1.6930,8.246
2015/02/27,13:00:00,0,1.6887,8.344
2015/02/27,13:15:00,0,1.6869,8.311
2015/02/27,13:30:00,0,1.6824,8.495
2015/02/27,13:45:00,0,1.6802,8.628
2015/02/27,14:00:00,0,1.6796,8.719
2015/02/27,14:15:00,0,1.6801,8.671
2015/02/27,14:30:00,0,1.6776,8.673
2015/02/27,14:45:00,0,1.6788,8.719
2015/02/27,15:00:00,0,1.6776,8.696
2015/02/27,15:15:00,0,1.6760,8.701
2015/02/27,15:30:00,0,1.6740,8.668
2015/02/27,15:45:00,0,1.6729,8.701
2015/02/27,16:00:00,0,1.6713,8.736
2015/02/27,16:15:00,0,1.6683,8.761
2015/02/27,16:30:00,0,1.6683,8.775
2015/02/27,16:45:00,0,1.6673,8.732
2015/02/27,17:00:00,0,1.6672,8.677
2015/02/27,17:15:00,0,1.6668,8.622
2015/02/27,17:30:00,0,1.6664,8.570
2015/02/27,17:45:00,0,1.6659,8.515
2015/02/27,18:00:00,0,1.6671,8.473
2015/02/27,18:15:00,0,1.6689,8.453
2015/02/27,18:30:00,0,1.6704,8.435
2015/02/27,18:45:00,0,1.6679,8.430
2015/02/27,19:00:00,0,1.6689,8.422
2015/02/27,19:15:00,0,1.6672,8.417
2015/02/27,19:30:00,0,1.6669,8.405
2015/02/27,19:45:00,0,1.6656,8.396
2015/02/27,20:00:00,0,1.6676,8.386
2015/02/27,20:15:00,0,1.6737,8.388
2015/02/27,20:30:00,0,1.6762,8.367
2015/02/27,20:45:00,0,1.6789,8.364
2015/02/27,21:00:00,0,1.6775,8.356
2015/02/27,21:15:00,0,1.6841,8.350
2015/02/27,21:30:00,0,1.6882,8.346
2015/02/27,21:45:00,0,1.6919,8.335
2015/02/27,22:00:00,0,1.6951,8.320
2015/02/27,22:15:00,0,1.6973,8.293
2015/02/27,22:30:00,0,1.6954,8.280
2015/02/27,22:45:00,0,1.6947,8.268
2015/02/27,23:00:00,0,1.6918,8.255
2015/02/27,23:15:00,0,1.6925,8.239
2015/02/27,23:30:00,0,1.6922,8.226
2015/02/27,23:45:00,0,1.6956,8.206
2015/02/28,00:00:00,0,1.6989,8.186
2015/02/28,00:15:00,0,1.7027,8.147
2015/02/28,00:30:00,0,1.7027,8.114
2015/02/28,00:45:00,0,1.7060,8.085
2015/02/28,01:00:00,0,1.7083,8.057
2015/02/28,01:15:00,0,1.7106,8.035
2015/02/28,01:30:00,0,1.7116,8.015
2015/02/28,01:45:00,0,1.7143,7.992
2015/02/28,02:00:00,0,1.7166,7.962
2015/02/28,02:15:00,0,1.7183,7.931
2015/02/28,02:30:00,0,1.7200,7.898
2015/02/28,02:45:00,0,1.7225,7.858
2015/02/28,03:00:00,0,1.7225,7.825
2015/02/28,03:15:00,0,1.7227,7.788
2015/02/28,03:30:00,0,1.7233,7.751
2015/02/28,03:45:00,0,1.7225,7.719
2015/02/28,04:00:00,0,1.7235,7.687
2015/02/28,04:15:00,0,1.7221,7.653
2015/02/28,04:30:00,0,1.7225,7.621
2015/02/28,04:45:00,0,1.7250,7.593
2015/02/28,05:00:00,0,1.7270,7.567
2015/02/28,05:15:00,0,1.7258,7.546
2015/02/28,05:30:00,0,1.7272,7.526
2015/02/28,05:45:00,0,1.7291,7.502
2015/02/28,06:00:00,0,1.7304,7.483
2015/02/28,06:15:00,0,1.7317,7.465
2015/02/28,06:30:00,0,1.7331,7.444
2015/02/28,06:45:00,0,1.7346,7.428
2015/02/28,07:00:00,0,1.7354,7.410
2015/02/28,07:15:00,0,1.7351,7.392
2015/02/28,07:30:00,0,1.7370,7.379
2015/02/28,07:45:00,0,1.7398,7.366
2015/02/28,08:00:00,0,1.7394,7.360
2015/02/28,08:15:00,0,1.7428,7.359
2015/02/28,08:30:00,0,1.7421,7.356
2015/02/28,08:45:00,0,1.7428,7.358
2015/02/28,09:00:00,0,1.7451,7.358
2015/02/28,09:15:00,0,1.7451,7.363
2015/02/28,09:30:00,0,1.7435,7.372
2015/02/28,09:45:00,0,1.7455,7.383
2015/02/28,10:00:00,0,1.7463,7.401
2015/02/28,10:15:00,0,1.7475,7.421
2015/02/28,10:30:00,0,1.7491,7.449
2015/02/28,10:45:00,0,1.7514,7.488
2015/02/28,11:00:00,0,1.7522,7.522
2015/02/28,11:15:00,0,1.7537,7.552
2015/02/28,11:30:00,0,1.7558,7.607
2015/02/28,11:45:00,0,1.7532,7.657
2015/02/28,12:00:00,0,1.7538,7.701
2015/02/28,12:15:00,0,1.7523,7.742
2015/02/28,12:30:00,0,1.7529,7.781
2015/02/28,12:45:00,0,1.7547,7.801
2015/02/28,13:00:00,0,1.7563,7.809
2015/02/28,13:15:00,0,1.7579,7.825
2015/02/28,13:30:00,0,1.7567,7.849
2015/02/28,13:45:00,0,1.7576,7.855
2015/02/28,14:00:00,0,1.7594,7.855
2015/02/28,14:15:00,0,1.7620,7.855
2015/02/28,14:30:00,0,1.7634,7.857
2015/02/28,14:45:00,0,1.7630,7.916
2015/02/28,15:00:00,0,1.7618,7.946
2015/02/28,15:15:00,0,1.7615,7.942
2015/02/28,15:30:00,0,1.7615,7.960
2015/02/28,15:45:00,0,1.7607,7.956
2015/02/28,16:00:00,0,1.7612,7.928
2015/02/28,16:15:00,0,1.7602,7.894
2015/02/28,16:30:00,0,1.7614,7.876
2015/02/28,16:45:00,0,1.7602,7.874
2015/02/28,17:00:00,0,1.7611,7.872
2015/02/28,17:15:00,0,1.7594,7.860
2015/02/28,17:30:00,0,1.7609,7.838
2015/02/28,17:45:00,0,1.7621,7.815
2015/02/28,18:00:00,0,1.7650,7.785
2015/02/28,18:15:00,0,1.7682,7.744
2015/02/28,18:30:00,0,1.7692,7.699
2015/02/28,18:45:00,0,1.7723,7.656
2015/02/28,19:00:00,0,1.7736,7.613
2015/02/28,19:15:00,0,1.7773,7.576
2015/02/28,19:30:00,0,1.7765,7.542
2015/02/28,19:45:00,0,1.7773,7.518
2015/02/28,20:00:00,0,1.7778,7.491
2015/02/28,20:15:00,0,1.7808,7.461
2015/02/28,20:30:00,0,1.7820,7.434
2015/02/28,20:45:00,0,1.7842,7.410
2015/02/28,21:00:00,0,1.7859,7.387
2015/02/28,21:15:00,0,1.7882,7.365
2015/02/28,21:30:00,0,1.7896,7.343
2015/02/28,21:45:00,0,1.7905,7.323
2015/02/28,22:00:00,0,1.7927,7.300
2015/02/28,22:15:00,0,1.7924,7.273
2015/02/28,22:30:00,0,1.7953,7.251
2015/02/28,22:45:00,0,1.7945,7.226
2015/02/28,23:00:00,0,1.7955,7.192
2015/02/28,23:15:00,0,1.7942,7.157
2015/02/28,23:30:00,0,1.7937,7.129
2015/02/28,23:45:00,0,1.7937,7.094
2015/03/01,00:00:00,0,1.7958,7.063
2015/03/01,00:15:00,0,1.7951,7.036
2015/03/01,00:30:00,0,1.7957,7.005
2015/03/01,00:45:00,0,1.7975,6.976
2015/03/01,01:00:00,0,1.7978,6.947
2015/03/01,01:15:00,0,1.7983,6.924
2015/03/01,01:30:00,0,1.7976,6.897
2015/03/01,01:45:00,0,1.7967,6.869
2015/03/01,02:00:00,0,1.7970,6.850
2015/03/01,02:15:00,0,1.7948,6.832
2015/03/01,02:30:00,0,1.7944,6.808
2015/03/01,02:45:00,0,1.7929,6.786
2015/03/01,03:00:00,0,1.7937,6.761
2015/03/01,03:15:00,0,1.7932,6.737
2015/03/01,03:30:00,0,1.7915,6.708
2015/03/01,03:45:00,0,1.7916,6.691
2015/03/01,04:00:00,0,1.7942,6.669
2015/03/01,04:15:00,0,1.7932,6.649
2015/03/01,04:30:00,0,1.7939,6.627
2015/03/01,04:45:00,0,1.7923,6.600
2015/03/01,05:00:00,0,1.7938,6.576
2015/03/01,05:15:00,0,1.7932,6.550
2015/03/01,05:30:00,0,1.7927,6.525
2015/03/01,05:45:00,0,1.7942,6.500
2015/03/01,06:00:00,0,1.7941,6.474
2015/03/01,06:15:00,0,1.7943,6.446
2015/03/01,06:30:00,0,1.7934,6.417
2015/03/01,06:45:00,0,1.7944,6.388
2015/03/01,07:00:00,0,1.7952,6.364
2015/03/01,07:15:00,0,1.7961,6.339
2015/03/01,07:30:00,0,1.7955,6.316
2015/03/01,07:45:00,0,1.7983,6.292
2015/03/01,08:00:00,0,1.7992,6.267
2015/03/01,08:15:00,0,1.7991,6.245
2015/03/01,08:30:00,0,1.7975,6.223
