Serial_number:
2024284
Project ID:
CWS-UCD
Location:
TUO-US
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2014/06/21,08:00:00,0,10.1215,15.667
2014/06/21,08:15:00,0,10.1194,15.667
2014/06/21,08:30:00,0,10.1171,15.675
2014/06/21,08:45:00,0,10.1153,15.683
2014/06/21,09:00:00,0,10.1139,15.694
2014/06/21,09:15:00,0,10.1108,15.722
2014/06/21,09:30:00,0,10.1082,15.774
2014/06/21,09:45:00,0,10.1059,15.838
2014/06/21,10:00:00,0,10.1036,15.907
2014/06/21,10:15:00,0,10.0997,15.976
2014/06/21,10:30:00,0,10.0997,16.042
2014/06/21,10:45:00,0,10.0984,16.128
2014/06/21,11:00:00,0,10.0990,16.227
2014/06/21,11:15:00,0,10.0976,16.300
2014/06/21,11:30:00,0,10.0986,16.357
2014/06/21,11:45:00,0,10.6824,16.450
2014/06/21,12:00:00,0,10.8352,16.698
2014/06/21,12:15:00,0,10.8544,16.859
2014/06/21,12:30:00,0,10.8550,17.000
2014/06/21,12:45:00,0,10.8634,17.159
2014/06/21,13:00:00,0,10.8626,17.322
2014/06/21,13:15:00,0,10.8660,17.472
2014/06/21,13:30:00,0,10.8691,17.606
2014/06/21,13:45:00,0,10.8663,17.721
2014/06/21,14:00:00,0,10.8517,17.813
2014/06/21,14:15:00,0,10.8114,17.877
2014/06/21,14:30:00,0,10.7605,17.907
2014/06/21,14:45:00,0,10.7013,17.901
2014/06/21,15:00:00,0,10.6451,17.865
2014/06/21,15:15:00,0,10.5929,17.797
2014/06/21,15:30:00,0,10.5467,17.701
2014/06/21,15:45:00,0,10.5061,17.583
2014/06/21,16:00:00,0,10.4653,17.451
2014/06/21,16:15:00,0,10.4313,17.317
2014/06/21,16:30:00,0,10.3981,17.186
2014/06/21,16:45:00,0,10.3669,17.061
2014/06/21,17:00:00,0,10.3390,16.946
2014/06/21,17:15:00,0,10.3108,16.841
2014/06/21,17:30:00,0,10.2848,16.749
2014/06/21,17:45:00,0,10.2607,16.669
2014/06/21,18:00:00,0,10.2394,16.599
2014/06/21,18:15:00,0,10.2218,16.538
2014/06/21,18:30:00,0,10.2051,16.483
2014/06/21,18:45:00,0,10.1883,16.430
2014/06/21,19:00:00,0,10.1721,16.380
2014/06/21,19:15:00,0,10.1620,16.335
2014/06/21,19:30:00,0,10.1508,16.295
2014/06/21,19:45:00,0,10.1420,16.259
2014/06/21,20:00:00,0,10.1347,16.223
2014/06/21,20:15:00,0,10.1296,16.188
2014/06/21,20:30:00,0,10.1247,16.155
2014/06/21,20:45:00,0,10.1231,16.121
2014/06/21,21:00:00,0,10.1226,16.087
2014/06/21,21:15:00,0,10.1224,16.054
2014/06/21,21:30:00,0,10.1234,16.022
2014/06/21,21:45:00,0,10.1241,15.991
2014/06/21,22:00:00,0,10.1252,15.961
2014/06/21,22:15:00,0,10.1265,15.933
2014/06/21,22:30:00,0,10.1272,15.906
2014/06/21,22:45:00,0,10.1273,15.879
2014/06/21,23:00:00,0,10.1281,15.855
2014/06/21,23:15:00,0,10.1267,15.831
2014/06/21,23:30:00,0,10.1246,15.808
2014/06/21,23:45:00,0,10.1250,15.786
2014/06/22,00:00:00,0,10.1254,15.766
2014/06/22,00:15:00,0,10.1236,15.747
2014/06/22,00:30:00,0,10.1243,15.728
2014/06/22,00:45:00,0,10.1230,15.710
2014/06/22,01:00:00,0,10.1221,15.691
2014/06/22,01:15:00,0,10.1223,15.672
2014/06/22,01:30:00,0,10.1206,15.653
2014/06/22,01:45:00,0,10.1206,15.633
2014/06/22,02:00:00,0,10.1193,15.612
2014/06/22,02:15:00,0,10.1195,15.591
2014/06/22,02:30:00,0,10.1189,15.570
2014/06/22,02:45:00,0,10.1180,15.548
2014/06/22,03:00:00,0,10.1185,15.526
2014/06/22,03:15:00,0,10.1188,15.504
2014/06/22,03:30:00,0,10.1192,15.481
2014/06/22,03:45:00,0,10.1209,15.458
2014/06/22,04:00:00,0,10.1214,15.434
2014/06/22,04:15:00,0,10.1224,15.409
2014/06/22,04:30:00,0,10.1237,15.384
2014/06/22,04:45:00,0,10.1224,15.358
2014/06/22,05:00:00,0,10.1225,15.332
2014/06/22,05:15:00,0,10.1220,15.306
2014/06/22,05:30:00,0,10.1220,15.277
2014/06/22,05:45:00,0,10.1218,15.250
2014/06/22,06:00:00,0,10.1220,15.224
2014/06/22,06:15:00,0,10.1217,15.198
2014/06/22,06:30:00,0,10.1213,15.170
2014/06/22,06:45:00,0,10.1226,15.143
2014/06/22,07:00:00,0,10.1228,15.117
2014/06/22,07:15:00,0,10.1239,15.091
2014/06/22,07:30:00,0,10.1218,15.066
2014/06/22,07:45:00,0,10.1218,15.041
2014/06/22,08:00:00,0,10.1212,15.015
2014/06/22,08:15:00,0,10.1201,14.990
2014/06/22,08:30:00,0,10.1195,14.964
2014/06/22,08:45:00,0,10.1202,14.939
2014/06/22,09:00:00,0,10.1184,14.917
2014/06/22,09:15:00,0,10.1175,14.910
2014/06/22,09:30:00,0,10.1141,14.938
2014/06/22,09:45:00,0,10.1118,14.984
2014/06/22,10:00:00,0,10.1075,15.039
2014/06/22,10:15:00,0,10.1065,15.096
2014/06/22,10:30:00,0,10.1053,15.157
2014/06/22,10:45:00,0,10.1049,15.218
2014/06/22,11:00:00,0,10.1039,15.280
2014/06/22,11:15:00,0,10.1037,15.343
2014/06/22,11:30:00,0,10.1022,15.409
2014/06/22,11:45:00,0,10.6530,15.516
2014/06/22,12:00:00,0,10.8378,15.662
2014/06/22,12:15:00,0,10.8484,15.796
2014/06/22,12:30:00,0,10.8602,15.953
2014/06/22,12:45:00,0,10.8644,16.137
2014/06/22,13:00:00,0,10.8648,16.330
2014/06/22,13:15:00,0,10.8743,16.520
2014/06/22,13:30:00,0,10.8725,16.698
2014/06/22,13:45:00,0,10.8746,16.854
2014/06/22,14:00:00,0,10.8542,16.989
2014/06/22,14:15:00,0,10.8156,17.092
2014/06/22,14:30:00,0,10.7551,17.164
2014/06/22,14:45:00,0,10.7048,17.207
2014/06/22,15:00:00,0,10.6485,17.222
2014/06/22,15:15:00,0,10.5929,17.209
2014/06/22,15:30:00,0,10.5452,17.172
2014/06/22,15:45:00,0,10.4981,17.117
2014/06/22,16:00:00,0,10.4619,17.051
2014/06/22,16:15:00,0,10.4254,16.981
2014/06/22,16:30:00,0,10.3938,16.911
2014/06/22,16:45:00,0,10.3632,16.846
2014/06/22,17:00:00,0,10.3350,16.788
2014/06/22,17:15:00,0,10.3087,16.738
2014/06/22,17:30:00,0,10.2851,16.691
2014/06/22,17:45:00,0,10.2621,16.648
2014/06/22,18:00:00,0,10.2405,16.608
2014/06/22,18:15:00,0,10.2218,16.572
2014/06/22,18:30:00,0,10.2055,16.542
2014/06/22,18:45:00,0,10.1894,16.514
2014/06/22,19:00:00,0,10.1758,16.491
2014/06/22,19:15:00,0,10.1631,16.470
2014/06/22,19:30:00,0,10.1546,16.452
2014/06/22,19:45:00,0,10.1452,16.436
2014/06/22,20:00:00,0,10.1377,16.423
2014/06/22,20:15:00,0,10.1333,16.411
2014/06/22,20:30:00,0,10.1297,16.400
2014/06/22,20:45:00,0,10.1276,16.389
2014/06/22,21:00:00,0,10.1270,16.381
2014/06/22,21:15:00,0,10.1263,16.371
2014/06/22,21:30:00,0,10.1262,16.363
2014/06/22,21:45:00,0,10.1267,16.356
2014/06/22,22:00:00,0,10.1260,16.350
2014/06/22,22:15:00,0,10.1257,16.344
2014/06/22,22:30:00,0,10.1273,16.340
2014/06/22,22:45:00,0,10.1263,16.336
2014/06/22,23:00:00,0,10.1253,16.333
2014/06/22,23:15:00,0,10.1250,16.329
2014/06/22,23:30:00,0,10.1257,16.326
2014/06/22,23:45:00,0,10.1249,16.324
2014/06/23,00:00:00,0,10.1243,16.319
2014/06/23,00:15:00,0,10.1237,16.317
2014/06/23,00:30:00,0,10.1230,16.312
2014/06/23,00:45:00,0,10.1225,16.307
2014/06/23,01:00:00,0,10.1215,16.301
2014/06/23,01:15:00,0,10.1210,16.294
2014/06/23,01:30:00,0,10.1201,16.287
2014/06/23,01:45:00,0,10.1185,16.278
2014/06/23,02:00:00,0,10.1179,16.269
2014/06/23,02:15:00,0,10.1178,16.258
2014/06/23,02:30:00,0,10.1160,16.247
2014/06/23,02:45:00,0,10.1166,16.233
2014/06/23,03:00:00,0,10.1165,16.220
2014/06/23,03:15:00,0,10.1167,16.206
2014/06/23,03:30:00,0,10.1184,16.190
2014/06/23,03:45:00,0,10.1188,16.174
2014/06/23,04:00:00,0,10.1172,16.157
2014/06/23,04:15:00,0,10.1168,16.138
2014/06/23,04:30:00,0,10.1174,16.119
2014/06/23,04:45:00,0,10.1182,16.100
2014/06/23,05:00:00,0,10.1200,16.080
2014/06/23,05:15:00,0,10.1198,16.060
2014/06/23,05:30:00,0,10.1213,16.040
2014/06/23,05:45:00,0,10.1229,16.019
2014/06/23,06:00:00,0,10.1235,15.998
2014/06/23,06:15:00,0,10.1231,15.978
2014/06/23,06:30:00,0,10.1246,15.957
2014/06/23,06:45:00,0,10.1253,15.935
2014/06/23,07:00:00,0,10.1242,15.915
2014/06/23,07:15:00,0,10.1241,15.894
2014/06/23,07:30:00,0,10.1223,15.873
2014/06/23,07:45:00,0,10.1211,15.851
2014/06/23,08:00:00,0,10.1200,15.829
