Serial_number:,,,,
2053371,,,,
Project ID:,,,,
CWS-Sierra,,,,
Location:,,,,
CWS-TUO,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
,,,,
UNIT: °C,,,,
Date,Time,ms,Level,Temperature
5/1/17,23:30:00,0,11.7751,11.318
5/1/17,23:45:00,0,11.7916,11.352
5/2/17,0:00:00,0,11.7979,11.383
5/2/17,0:15:00,0,11.8182,11.413
5/2/17,0:30:00,0,11.8193,11.441
5/2/17,0:45:00,0,11.8336,11.467
5/2/17,1:00:00,0,11.8357,11.489
5/2/17,1:15:00,0,11.8338,11.507
5/2/17,1:30:00,0,11.8387,11.52
5/2/17,1:45:00,0,11.8569,11.531
5/2/17,2:00:00,0,11.8478,11.535
5/2/17,2:15:00,0,11.8475,11.536
5/2/17,2:30:00,0,11.849,11.531
5/2/17,2:45:00,0,11.8434,11.523
5/2/17,3:00:00,0,11.8583,11.509
5/2/17,3:15:00,0,11.8537,11.492
5/2/17,3:30:00,0,11.8576,11.472
5/2/17,3:45:00,0,11.8583,11.447
5/2/17,4:00:00,0,11.8519,11.419
5/2/17,4:15:00,0,11.84,11.387
5/2/17,4:30:00,0,11.8442,11.351
5/2/17,4:45:00,0,11.8448,11.311
5/2/17,5:00:00,0,11.8461,11.267
5/2/17,5:15:00,0,11.8417,11.221
5/2/17,5:30:00,0,11.8385,11.17
5/2/17,5:45:00,0,11.8327,11.118
5/2/17,6:00:00,0,11.8315,11.06
5/2/17,6:15:00,0,11.826,11.001
5/2/17,6:30:00,0,11.8268,10.939
5/2/17,6:45:00,0,11.8206,10.872
5/2/17,7:00:00,0,11.8252,10.804
5/2/17,7:15:00,0,11.8104,10.734
5/2/17,7:30:00,0,11.8295,10.662
5/2/17,7:45:00,0,11.8098,10.588
5/2/17,8:00:00,0,11.8063,10.513
5/2/17,8:15:00,0,11.8076,10.437
5/2/17,8:30:00,0,11.8014,10.36
5/2/17,8:45:00,0,11.804,10.282
5/2/17,9:00:00,0,11.7921,10.205
5/2/17,9:15:00,0,11.7789,10.129
5/2/17,9:30:00,0,11.7705,10.054
5/2/17,9:45:00,0,11.7717,9.983
5/2/17,10:00:00,0,11.7652,9.916
5/2/17,10:15:00,0,11.766,9.854
5/2/17,10:30:00,0,11.7505,9.796
5/2/17,10:45:00,0,11.7568,9.744
5/2/17,11:00:00,0,11.7516,9.698
5/2/17,11:15:00,0,11.7394,9.657
5/2/17,11:30:00,0,11.7396,9.621
5/2/17,11:45:00,0,11.7341,9.591
5/2/17,12:00:00,0,11.7286,9.567
5/2/17,12:15:00,0,11.7188,9.55
5/2/17,12:30:00,0,11.7245,9.539
5/2/17,12:45:00,0,11.7127,9.535
5/2/17,13:00:00,0,11.7189,9.537
5/2/17,13:15:00,0,11.7091,9.546
5/2/17,13:30:00,0,11.7038,9.563
5/2/17,13:45:00,0,11.706,9.585
5/2/17,14:00:00,0,11.6987,9.612
5/2/17,14:15:00,0,11.696,9.646
5/2/17,14:30:00,0,11.6937,9.684
5/2/17,14:45:00,0,11.691,9.727
5/2/17,15:00:00,0,11.6862,9.775
5/2/17,15:15:00,0,11.6837,9.826
5/2/17,15:30:00,0,11.6734,9.88
5/2/17,15:45:00,0,11.6739,9.939
5/2/17,16:00:00,0,11.6684,10.001
5/2/17,16:15:00,0,11.667,10.066
5/2/17,16:30:00,0,11.6665,10.132
5/2/17,16:45:00,0,11.6669,10.2
5/2/17,17:00:00,0,11.659,10.27
5/2/17,17:15:00,0,11.6514,10.34
5/2/17,17:30:00,0,11.6551,10.411
5/2/17,17:45:00,0,11.6534,10.48
5/2/17,18:00:00,0,11.6498,10.548
5/2/17,18:15:00,0,11.6564,10.615
5/2/17,18:30:00,0,11.6547,10.68
5/2/17,18:45:00,0,11.6503,10.742
5/2/17,19:00:00,0,11.6546,10.801
5/2/17,19:15:00,0,11.6564,10.857
5/2/17,19:30:00,0,11.659,10.912
5/2/17,19:45:00,0,11.6666,10.964
5/2/17,20:00:00,0,11.683,11.013
5/2/17,20:15:00,0,11.6716,11.061
5/2/17,20:30:00,0,11.6881,11.107
5/2/17,20:45:00,0,11.7011,11.15
5/2/17,21:00:00,0,11.715,11.193
5/2/17,21:15:00,0,11.7289,11.234
5/2/17,21:30:00,0,11.7374,11.276
5/2/17,21:45:00,0,11.7457,11.318
5/2/17,22:00:00,0,11.768,11.361
5/2/17,22:15:00,0,11.7826,11.405
5/2/17,22:30:00,0,11.797,11.447
5/2/17,22:45:00,0,11.8062,11.488
5/2/17,23:00:00,0,11.8249,11.529
5/2/17,23:15:00,0,11.8367,11.567
5/2/17,23:30:00,0,11.8506,11.606
5/2/17,23:45:00,0,11.8594,11.643
5/3/17,0:00:00,0,11.8727,11.679
5/3/17,0:15:00,0,11.8822,11.712
5/3/17,0:30:00,0,11.8896,11.741
5/3/17,0:45:00,0,11.9036,11.768
5/3/17,1:00:00,0,11.8957,11.792
5/3/17,1:15:00,0,11.9037,11.81
5/3/17,1:30:00,0,11.9044,11.825
5/3/17,1:45:00,0,11.9036,11.835
5/3/17,2:00:00,0,11.903,11.841
5/3/17,2:15:00,0,11.9116,11.844
5/3/17,2:30:00,0,11.9098,11.841
5/3/17,2:45:00,0,11.9165,11.833
5/3/17,3:00:00,0,11.9137,11.821
5/3/17,3:15:00,0,11.9171,11.804
5/3/17,3:30:00,0,11.9122,11.782
5/3/17,3:45:00,0,11.9072,11.756
5/3/17,4:00:00,0,11.9059,11.725
5/3/17,4:15:00,0,11.9016,11.69
5/3/17,4:30:00,0,11.9045,11.649
5/3/17,4:45:00,0,11.903,11.604
5/3/17,5:00:00,0,11.9106,11.554
5/3/17,5:15:00,0,11.8832,11.5
5/3/17,5:30:00,0,11.8841,11.441
5/3/17,5:45:00,0,11.8855,11.377
5/3/17,6:00:00,0,11.8879,11.309
5/3/17,6:15:00,0,11.8712,11.238
5/3/17,6:30:00,0,11.882,11.163
5/3/17,6:45:00,0,11.884,11.085
5/3/17,7:00:00,0,11.8763,11.004
5/3/17,7:15:00,0,11.8644,10.922
5/3/17,7:30:00,0,11.8662,10.839
5/3/17,7:45:00,0,11.8501,10.754
5/3/17,8:00:00,0,11.8631,10.669
5/3/17,8:15:00,0,11.8546,10.585
5/3/17,8:30:00,0,11.8478,10.502
5/3/17,8:45:00,0,11.8424,10.42
5/3/17,9:00:00,0,11.8376,10.342
5/3/17,9:15:00,0,11.8337,10.265
5/3/17,9:30:00,0,11.8198,10.191
5/3/17,9:45:00,0,11.8212,10.121
5/3/17,10:00:00,0,11.8073,10.055
5/3/17,10:15:00,0,11.8024,9.994
5/3/17,10:30:00,0,11.8038,9.939
5/3/17,10:45:00,0,11.8002,9.891
5/3/17,11:00:00,0,11.7934,9.849
5/3/17,11:15:00,0,11.7845,9.812
5/3/17,11:30:00,0,11.7811,9.78
5/3/17,11:45:00,0,11.7762,9.755
5/3/17,12:00:00,0,11.7736,9.734
5/3/17,12:15:00,0,11.7778,9.719
5/3/17,12:30:00,0,11.7664,9.71
5/3/17,12:45:00,0,11.7573,9.708
5/3/17,13:00:00,0,11.7571,9.712
5/3/17,13:15:00,0,11.7514,9.723
5/3/17,13:30:00,0,11.7486,9.741
5/3/17,13:45:00,0,11.7464,9.765
5/3/17,14:00:00,0,11.7411,9.796
5/3/17,14:15:00,0,11.7396,9.834
5/3/17,14:30:00,0,11.7378,9.876
5/3/17,14:45:00,0,11.7376,9.925
5/3/17,15:00:00,0,11.7391,9.977
5/3/17,15:15:00,0,11.7198,10.034
5/3/17,15:30:00,0,11.7246,10.096
5/3/17,15:45:00,0,11.7215,10.16
5/3/17,16:00:00,0,11.718,10.227
5/3/17,16:15:00,0,11.7137,10.297
5/3/17,16:30:00,0,11.6986,10.367
5/3/17,16:45:00,0,11.7007,10.438
5/3/17,17:00:00,0,11.6936,10.51
5/3/17,17:15:00,0,11.6991,10.582
5/3/17,17:30:00,0,11.701,10.651
5/3/17,17:45:00,0,11.7,10.72
5/3/17,18:00:00,0,11.6943,10.787
5/3/17,18:15:00,0,11.701,10.851
5/3/17,18:30:00,0,11.7029,10.915
5/3/17,18:45:00,0,11.7122,10.976
5/3/17,19:00:00,0,11.7074,11.034
5/3/17,19:15:00,0,11.7122,11.09
5/3/17,19:30:00,0,11.7238,11.144
5/3/17,19:45:00,0,11.7305,11.195
5/3/17,20:00:00,0,11.7406,11.243
5/3/17,20:15:00,0,11.7532,11.292
5/3/17,20:30:00,0,11.767,11.34
5/3/17,20:45:00,0,11.7864,11.386
5/3/17,21:00:00,0,11.8055,11.43
5/3/17,21:15:00,0,11.8148,11.474
5/3/17,21:30:00,0,11.842,11.517
5/3/17,21:45:00,0,11.8523,11.562
5/3/17,22:00:00,0,11.8843,11.604
5/3/17,22:15:00,0,11.8841,11.645
5/3/17,22:30:00,0,11.8993,11.684
5/3/17,22:45:00,0,11.9216,11.724
5/3/17,23:00:00,0,11.9234,11.762
5/3/17,23:15:00,0,11.9359,11.799
5/3/17,23:30:00,0,11.941,11.834
5/3/17,23:45:00,0,11.944,11.869
5/4/17,0:00:00,0,11.9505,11.902
5/4/17,0:15:00,0,11.9587,11.932
5/4/17,0:30:00,0,11.9586,11.959
5/4/17,0:45:00,0,11.9694,11.982
5/4/17,1:00:00,0,11.965,12.002
5/4/17,1:15:00,0,11.9737,12.017
5/4/17,1:30:00,0,11.9693,12.028
5/4/17,1:45:00,0,11.9677,12.033
5/4/17,2:00:00,0,11.972,12.032
5/4/17,2:15:00,0,11.9668,12.026
5/4/17,2:30:00,0,11.9644,12.012
5/4/17,2:45:00,0,11.9714,11.995
5/4/17,3:00:00,0,11.9701,11.968
5/4/17,3:15:00,0,11.9652,11.935
5/4/17,3:30:00,0,11.9517,11.896
5/4/17,3:45:00,0,11.9599,11.85
5/4/17,4:00:00,0,11.965,11.8
5/4/17,4:15:00,0,11.9427,11.744
5/4/17,4:30:00,0,11.9415,11.683
5/4/17,4:45:00,0,11.9467,11.618
5/4/17,5:00:00,0,11.9362,11.549
5/4/17,5:15:00,0,11.9245,11.477
5/4/17,5:30:00,0,11.9185,11.403
5/4/17,5:45:00,0,11.936,11.325
5/4/17,6:00:00,0,11.9143,11.244
5/4/17,6:15:00,0,11.909,11.162
5/4/17,6:30:00,0,11.9064,11.079
5/4/17,6:45:00,0,11.9142,10.995
5/4/17,7:00:00,0,11.9036,10.91
5/4/17,7:15:00,0,11.9077,10.826
5/4/17,7:30:00,0,11.8879,10.745
5/4/17,7:45:00,0,11.8936,10.665
5/4/17,8:00:00,0,11.8792,10.584
5/4/17,8:15:00,0,11.8727,10.505
5/4/17,8:30:00,0,11.8692,10.427
5/4/17,8:45:00,0,11.8544,10.353
5/4/17,9:00:00,0,11.8535,10.282
5/4/17,9:15:00,0,11.8525,10.217
5/4/17,9:30:00,0,11.84,10.154
5/4/17,9:45:00,0,11.8375,10.096
5/4/17,10:00:00,0,11.8353,10.043
5/4/17,10:15:00,0,11.8336,9.995
5/4/17,10:30:00,0,11.8213,9.953
5/4/17,10:45:00,0,11.821,9.916
5/4/17,11:00:00,0,11.8091,9.886
5/4/17,11:15:00,0,11.8132,9.857
5/4/17,11:30:00,0,11.7988,9.833
5/4/17,11:45:00,0,11.7859,9.815
5/4/17,12:00:00,0,11.7972,9.802
5/4/17,12:15:00,0,11.7835,9.795
5/4/17,12:30:00,0,11.7847,9.794
5/4/17,12:45:00,0,11.7741,9.797
5/4/17,13:00:00,0,11.7711,9.807
5/4/17,13:15:00,0,11.7695,9.823
5/4/17,13:30:00,0,11.7581,9.846
5/4/17,13:45:00,0,11.7656,9.875
5/4/17,14:00:00,0,11.7608,9.91
5/4/17,14:15:00,0,11.751,9.95
5/4/17,14:30:00,0,11.7481,9.994
5/4/17,14:45:00,0,11.7428,10.043
5/4/17,15:00:00,0,11.7414,10.096
5/4/17,15:15:00,0,11.7369,10.151
5/4/17,15:30:00,0,11.7286,10.209
5/4/17,15:45:00,0,11.7295,10.272
5/4/17,16:00:00,0,11.7239,10.336
5/4/17,16:15:00,0,11.725,10.402
5/4/17,16:30:00,0,11.7102,10.472
5/4/17,16:45:00,0,11.7064,10.541
5/4/17,17:00:00,0,11.719,10.611
5/4/17,17:15:00,0,11.7046,10.682
5/4/17,17:30:00,0,11.7047,10.752
5/4/17,17:45:00,0,11.7062,10.82
5/4/17,18:00:00,0,11.7078,10.887
5/4/17,18:15:00,0,11.7126,10.953
5/4/17,18:30:00,0,11.7179,11.015
5/4/17,18:45:00,0,11.7201,11.076
5/4/17,19:00:00,0,11.7264,11.135
5/4/17,19:15:00,0,11.7286,11.19
5/4/17,19:30:00,0,11.7405,11.244
5/4/17,19:45:00,0,11.7612,11.295
5/4/17,20:00:00,0,11.7692,11.345
5/4/17,20:15:00,0,11.7852,11.392
5/4/17,20:30:00,0,11.8023,11.439
5/4/17,20:45:00,0,11.8219,11.485
5/4/17,21:00:00,0,11.8473,11.528
5/4/17,21:15:00,0,11.8613,11.571
5/4/17,21:30:00,0,11.8816,11.614
5/4/17,21:45:00,0,11.9035,11.656
5/4/17,22:00:00,0,11.9247,11.698
5/4/17,22:15:00,0,11.9507,11.74
5/4/17,22:30:00,0,11.9627,11.78
5/4/17,22:45:00,0,11.9693,11.819
5/4/17,23:00:00,0,11.9796,11.857
5/4/17,23:15:00,0,11.994,11.891
5/4/17,23:30:00,0,12.0092,11.923
5/4/17,23:45:00,0,12.0145,11.954
5/5/17,0:00:00,0,12.0181,11.979
5/5/17,0:15:00,0,12.02,11.999
5/5/17,0:30:00,0,12.028,12.016
5/5/17,0:45:00,0,12.0248,12.027
5/5/17,1:00:00,0,12.0387,12.034
5/5/17,1:15:00,0,12.0247,12.033
5/5/17,1:30:00,0,12.0326,12.025
5/5/17,1:45:00,0,12.0208,12.01
5/5/17,2:00:00,0,12.0326,11.986
5/5/17,2:15:00,0,12.0259,11.952
5/5/17,2:30:00,0,12.0148,11.908
5/5/17,2:45:00,0,12.0175,11.857
5/5/17,3:00:00,0,12.0087,11.796
5/5/17,3:15:00,0,12.0086,11.728
5/5/17,3:30:00,0,12.0032,11.651
5/5/17,3:45:00,0,12.0047,11.565
5/5/17,4:00:00,0,11.9838,11.472
5/5/17,4:15:00,0,11.9897,11.372
5/5/17,4:30:00,0,11.9728,11.265
5/5/17,4:45:00,0,11.9836,11.157
5/5/17,5:00:00,0,11.9627,11.046
5/5/17,5:15:00,0,11.9637,10.933
5/5/17,5:30:00,0,11.9608,10.818
5/5/17,5:45:00,0,11.9542,10.704
5/5/17,6:00:00,0,11.9402,10.589
5/5/17,6:15:00,0,11.9422,10.48
5/5/17,6:30:00,0,11.9289,10.372
5/5/17,6:45:00,0,11.9318,10.27
5/5/17,7:00:00,0,11.9259,10.173
5/5/17,7:15:00,0,11.9226,10.079
5/5/17,7:30:00,0,11.9172,9.988
5/5/17,7:45:00,0,11.9066,9.904
5/5/17,8:00:00,0,11.9112,9.825
5/5/17,8:15:00,0,11.8908,9.752
5/5/17,8:30:00,0,11.8929,9.685
5/5/17,8:45:00,0,11.8792,9.621
5/5/17,9:00:00,0,11.8853,9.563
5/5/17,9:15:00,0,11.8617,9.513
5/5/17,9:30:00,0,11.8587,9.465
5/5/17,9:45:00,0,11.8518,9.423
5/5/17,10:00:00,0,11.8406,9.388
5/5/17,10:15:00,0,11.8444,9.361
5/5/17,10:30:00,0,11.8272,9.341
5/5/17,10:45:00,0,11.8335,9.327
5/5/17,11:00:00,0,11.8256,9.32
5/5/17,11:15:00,0,11.8184,9.321
5/5/17,11:30:00,0,11.8135,9.329
5/5/17,11:45:00,0,11.8069,9.342
5/5/17,12:00:00,0,11.7961,9.361
5/5/17,12:15:00,0,11.8043,9.387
5/5/17,12:30:00,0,11.7942,9.419
5/5/17,12:45:00,0,11.7825,9.458
5/5/17,13:00:00,0,11.7891,9.502
5/5/17,13:15:00,0,11.7824,9.551
5/5/17,13:30:00,0,11.7681,9.604
5/5/17,13:45:00,0,11.7781,9.663
5/5/17,14:00:00,0,11.7753,9.727
5/5/17,14:15:00,0,11.7757,9.793
5/5/17,14:30:00,0,11.7702,9.858
5/5/17,14:45:00,0,11.7761,9.925
5/5/17,15:00:00,0,11.7557,9.989
5/5/17,15:15:00,0,11.7526,10.053
5/5/17,15:30:00,0,11.7565,10.118
5/5/17,15:45:00,0,11.755,10.186
5/5/17,16:00:00,0,11.7493,10.259
5/5/17,16:15:00,0,11.7415,10.331
5/5/17,16:30:00,0,11.7421,10.402
5/5/17,16:45:00,0,11.7475,10.469
5/5/17,17:00:00,0,11.7375,10.535
5/5/17,17:15:00,0,11.7342,10.597
5/5/17,17:30:00,0,11.7435,10.655
5/5/17,17:45:00,0,11.7489,10.712
5/5/17,18:00:00,0,11.7519,10.767
5/5/17,18:15:00,0,11.7484,10.819
5/5/17,18:30:00,0,11.7441,10.871
5/5/17,18:45:00,0,11.755,10.92
5/5/17,19:00:00,0,11.759,10.965
5/5/17,19:15:00,0,11.7578,11.008
5/5/17,19:30:00,0,11.7803,11.046
5/5/17,19:45:00,0,11.7887,11.08
5/5/17,20:00:00,0,11.8002,11.109
5/5/17,20:15:00,0,11.7978,11.137
5/5/17,20:30:00,0,11.8322,11.16
5/5/17,20:45:00,0,11.8422,11.184
5/5/17,21:00:00,0,11.8615,11.205
5/5/17,21:15:00,0,11.8715,11.223
5/5/17,21:30:00,0,11.8915,11.241
5/5/17,21:45:00,0,11.8975,11.256
5/5/17,22:00:00,0,11.9168,11.27
5/5/17,22:15:00,0,11.928,11.281
5/5/17,22:30:00,0,11.9407,11.289
5/5/17,22:45:00,0,11.9321,11.296
5/5/17,23:00:00,0,11.9462,11.299
5/5/17,23:15:00,0,11.9504,11.298
5/5/17,23:30:00,0,11.9566,11.292
5/5/17,23:45:00,0,11.9538,11.283
5/6/17,0:00:00,0,11.9657,11.269
5/6/17,0:15:00,0,11.9784,11.249
5/6/17,0:30:00,0,11.96,11.225
5/6/17,0:45:00,0,11.9691,11.196
5/6/17,1:00:00,0,11.9633,11.161
5/6/17,1:15:00,0,11.9629,11.122
5/6/17,1:30:00,0,11.9702,11.078
5/6/17,1:45:00,0,11.9595,11.027
5/6/17,2:00:00,0,11.9558,10.973
5/6/17,2:15:00,0,11.9624,10.912
5/6/17,2:30:00,0,11.94,10.846
5/6/17,2:45:00,0,11.9371,10.773
5/6/17,3:00:00,0,11.9331,10.695
5/6/17,3:15:00,0,11.9324,10.614
5/6/17,3:30:00,0,11.9165,10.531
5/6/17,3:45:00,0,11.9185,10.445
5/6/17,4:00:00,0,11.8975,10.353
5/6/17,4:15:00,0,11.8978,10.261
5/6/17,4:30:00,0,11.8945,10.165
5/6/17,4:45:00,0,11.8799,10.07
5/6/17,5:00:00,0,11.8852,9.974
5/6/17,5:15:00,0,11.8793,9.879
5/6/17,5:30:00,0,11.8693,9.787
5/6/17,5:45:00,0,11.8626,9.695
5/6/17,6:00:00,0,11.8559,9.603
5/6/17,6:15:00,0,11.8466,9.513
5/6/17,6:30:00,0,11.8409,9.427
5/6/17,6:45:00,0,11.8346,9.346
5/6/17,7:00:00,0,11.8422,9.267
5/6/17,7:15:00,0,11.83,9.19
5/6/17,7:30:00,0,11.8262,9.116
5/6/17,7:45:00,0,11.8199,9.046
5/6/17,8:00:00,0,11.8074,8.979
5/6/17,8:15:00,0,11.808,8.917
5/6/17,8:30:00,0,11.7961,8.856
5/6/17,8:45:00,0,11.8,8.799
5/6/17,9:00:00,0,11.7937,8.746
5/6/17,9:15:00,0,11.7957,8.696
5/6/17,9:30:00,0,11.7765,8.651
5/6/17,9:45:00,0,11.7756,8.609
5/6/17,10:00:00,0,11.7676,8.569
5/6/17,10:15:00,0,11.7627,8.533
5/6/17,10:30:00,0,11.7487,8.496
5/6/17,10:45:00,0,11.7547,8.462
5/6/17,11:00:00,0,11.7579,8.43
5/6/17,11:15:00,0,11.7402,8.403
5/6/17,11:30:00,0,11.7303,8.378
5/6/17,11:45:00,0,11.7228,8.358
5/6/17,12:00:00,0,11.7215,8.342
5/6/17,12:15:00,0,11.7149,8.327
5/6/17,12:30:00,0,11.7081,8.314
5/6/17,12:45:00,0,11.7045,8.302
5/6/17,13:00:00,0,11.7033,8.291
5/6/17,13:15:00,0,11.696,8.284
5/6/17,13:30:00,0,11.6966,8.281
5/6/17,13:45:00,0,11.6975,8.281
5/6/17,14:00:00,0,11.6993,8.285
5/6/17,14:15:00,0,11.6904,8.293
5/6/17,14:30:00,0,11.6864,8.304
5/6/17,14:45:00,0,11.6809,8.317
5/6/17,15:00:00,0,11.6876,8.334
5/6/17,15:15:00,0,11.6809,8.349
5/6/17,15:30:00,0,11.6899,8.365
5/6/17,15:45:00,0,11.6874,8.379
5/6/17,16:00:00,0,11.6802,8.392
5/6/17,16:15:00,0,11.6736,8.407
5/6/17,16:30:00,0,11.6651,8.421
5/6/17,16:45:00,0,11.6629,8.436
5/6/17,17:00:00,0,11.6587,8.45
5/6/17,17:15:00,0,11.6504,8.463
5/6/17,17:30:00,0,11.6526,8.475
5/6/17,17:45:00,0,11.6531,8.485
5/6/17,18:00:00,0,11.6476,8.494
5/6/17,18:15:00,0,11.6382,8.502
5/6/17,18:30:00,0,11.6416,8.509
5/6/17,18:45:00,0,11.6379,8.516
5/6/17,19:00:00,0,11.6373,8.524
5/6/17,19:15:00,0,11.6331,8.534
5/6/17,19:30:00,0,11.6341,8.544
5/6/17,19:45:00,0,11.6323,8.554
5/6/17,20:00:00,0,11.6308,8.565
5/6/17,20:15:00,0,11.627,8.577
5/6/17,20:30:00,0,11.6292,8.588
5/6/17,20:45:00,0,11.6233,8.6
5/6/17,21:00:00,0,11.6215,8.613
5/6/17,21:15:00,0,11.6202,8.625
5/6/17,21:30:00,0,11.6115,8.636
5/6/17,21:45:00,0,11.6211,8.647
5/6/17,22:00:00,0,11.6199,8.655
5/6/17,22:15:00,0,11.6257,8.662
5/6/17,22:30:00,0,11.6239,8.666
5/6/17,22:45:00,0,11.6279,8.67
5/6/17,23:00:00,0,11.6211,8.671
5/6/17,23:15:00,0,11.6127,8.671
5/6/17,23:30:00,0,11.6144,8.668
5/6/17,23:45:00,0,11.6186,8.664
5/7/17,0:00:00,0,11.6078,8.658
5/7/17,0:15:00,0,11.6097,8.653
5/7/17,0:30:00,0,11.6065,8.647
5/7/17,0:45:00,0,11.6038,8.642
5/7/17,1:00:00,0,11.6055,8.635
5/7/17,1:15:00,0,11.6138,8.628
5/7/17,1:30:00,0,11.602,8.622
5/7/17,1:45:00,0,11.6046,8.614
5/7/17,2:00:00,0,11.5987,8.605
5/7/17,2:15:00,0,11.5963,8.596
5/7/17,2:30:00,0,11.5943,8.586
5/7/17,2:45:00,0,11.5963,8.575
5/7/17,3:00:00,0,11.5884,8.563
