Serial_number:
1034999
Project ID:
CWS
Location:
tuo
Level
UNIT: m
Offset: 0.000000 m
Altitude: 366.000000 m
Density: 1.000000 kg/L
Temperature
UNIT: Deg C
Date,Time,ms,Level,Temperature
2015/12/17,12:00:00,0,0.4499,12.554
2015/12/17,12:15:00,0,0.4561,13.103
2015/12/17,12:30:00,0,0.4550,13.575
2015/12/17,12:45:00,0,0.4181,13.564
2015/12/17,13:00:00,0,0.4390,12.335
2015/12/17,13:15:00,0,0.4390,11.400
2015/12/17,13:30:00,0,0.4420,10.911
2015/12/17,13:45:00,0,0.4444,10.536
2015/12/17,14:00:00,0,0.4527,10.138
2015/12/17,14:15:00,0,0.4504,10.000
2015/12/17,14:30:00,0,0.4481,10.029
2015/12/17,14:45:00,0,0.4489,9.867
2015/12/17,15:00:00,0,0.4566,9.609
2015/12/17,15:15:00,0,0.4613,9.390
2015/12/17,15:30:00,0,0.4546,9.156
2015/12/17,15:45:00,0,0.4503,8.904
2015/12/17,16:00:00,0,0.4479,8.668
2015/12/17,16:15:00,0,0.4477,8.397
2015/12/17,16:30:00,0,0.4579,7.861
2015/12/17,16:45:00,0,0.4740,7.485
2015/12/17,17:00:00,0,0.4892,7.065
2015/12/17,17:15:00,0,0.4986,6.605
2015/12/17,17:30:00,0,0.5026,6.139
2015/12/17,17:45:00,0,0.4969,5.692
2015/12/17,18:00:00,0,0.4836,5.263
2015/12/17,18:15:00,0,0.4720,5.008
2015/12/17,18:30:00,0,0.4622,4.593
2015/12/17,18:45:00,0,0.4448,4.132
2015/12/17,19:00:00,0,0.4203,3.936
2015/12/17,19:15:00,0,0.4110,3.749
2015/12/17,19:30:00,0,0.4042,3.548
2015/12/17,19:45:00,0,0.3984,3.213
2015/12/17,20:00:00,0,0.3928,2.998
2015/12/17,20:15:00,0,0.3851,2.871
2015/12/17,20:30:00,0,0.3848,2.637
2015/12/17,20:45:00,0,0.3837,2.505
2015/12/17,21:00:00,0,0.3838,2.253
2015/12/17,21:15:00,0,0.3842,2.078
2015/12/17,21:30:00,0,0.3841,1.916
2015/12/17,21:45:00,0,0.3848,1.791
2015/12/17,22:00:00,0,0.3850,1.678
2015/12/17,22:15:00,0,0.3854,1.458
2015/12/17,22:30:00,0,0.3866,1.328
2015/12/17,22:45:00,0,0.3900,1.200
2015/12/17,23:00:00,0,0.3910,1.083
2015/12/17,23:15:00,0,0.3906,0.945
2015/12/17,23:30:00,0,0.3914,0.809
2015/12/17,23:45:00,0,0.3947,0.738
2015/12/18,00:00:00,0,0.3946,0.559
2015/12/18,00:15:00,0,0.3929,0.378
2015/12/18,00:30:00,0,0.3925,0.279
2015/12/18,00:45:00,0,0.3850,0.462
2015/12/18,01:00:00,0,0.3838,0.534
2015/12/18,01:15:00,0,0.3797,0.611
2015/12/18,01:30:00,0,0.3779,0.590
2015/12/18,01:45:00,0,0.3762,0.822
2015/12/18,02:00:00,0,0.3752,0.859
2015/12/18,02:15:00,0,0.3737,0.800
2015/12/18,02:30:00,0,0.3766,0.597
2015/12/18,02:45:00,0,0.3777,0.537
2015/12/18,03:00:00,0,0.3787,0.419
2015/12/18,03:15:00,0,0.3785,0.285
2015/12/18,03:30:00,0,0.3784,0.189
2015/12/18,03:45:00,0,0.3804,-0.025
