Serial_number:,,,,
2024284,,,,
Project ID:,,,,
CWS-UCD,,,,
Location:,,,,
TUO-US,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
,,,,
UNIT: °C,,,,
Date,Time,ms,Level,Temperature
5/2/17,14:30:01,0,12.7433,10.651
5/2/17,14:45:01,0,12.7358,10.746
5/2/17,15:00:01,0,12.7363,10.831
5/2/17,15:15:01,0,12.7554,10.911
5/2/17,15:30:01,0,12.7527,10.985
5/2/17,15:45:01,0,12.7597,11.049
5/2/17,16:00:01,0,12.7686,11.099
5/2/17,16:15:01,0,12.7963,11.152
5/2/17,16:30:01,0,12.7903,11.193
5/2/17,16:45:01,0,12.7445,11.225
5/2/17,17:00:01,0,12.7539,11.25
5/2/17,17:15:01,0,12.7753,11.262
5/2/17,17:30:01,0,12.7791,11.278
5/2/17,17:45:01,0,12.7253,11.294
5/2/17,18:00:01,0,12.7252,11.312
5/2/17,18:15:01,0,12.7266,11.309
5/2/17,18:30:01,0,12.7093,11.294
5/2/17,18:45:01,0,12.7285,11.267
5/2/17,19:00:01,0,12.6934,11.22
5/2/17,19:15:01,0,12.701,11.157
5/2/17,19:30:01,0,12.7016,11.085
5/2/17,19:45:01,0,12.7101,11.018
5/2/17,20:00:01,0,12.7312,10.962
5/2/17,20:15:01,0,12.7184,10.906
5/2/17,20:30:01,0,12.7141,10.854
5/2/17,20:45:01,0,12.7453,10.803
5/2/17,21:00:01,0,12.7435,10.759
5/2/17,21:15:01,0,12.7533,10.718
5/2/17,21:30:01,0,12.765,10.675
5/2/17,21:45:01,0,12.7463,10.631
5/2/17,22:00:01,0,12.7726,10.585
5/2/17,22:15:01,0,12.7517,10.541
5/2/17,22:30:01,0,12.781,10.503
5/2/17,22:45:01,0,12.8219,10.46
5/2/17,23:00:01,0,12.7922,10.424
5/2/17,23:15:01,0,12.7858,10.388
5/2/17,23:30:01,0,12.8163,10.353
5/2/17,23:45:01,0,12.8413,10.322
5/3/17,0:00:01,0,12.7959,10.291
5/3/17,0:15:01,0,12.8311,10.261
5/3/17,0:30:01,0,12.8546,10.232
5/3/17,0:45:01,0,12.8526,10.204
5/3/17,1:00:01,0,12.8513,10.171
5/3/17,1:15:01,0,12.8424,10.138
5/3/17,1:30:01,0,12.8371,10.104
5/3/17,1:45:01,0,12.8503,10.068
5/3/17,2:00:01,0,12.8661,10.031
5/3/17,2:15:01,0,12.8874,9.991
5/3/17,2:30:01,0,12.8549,9.948
5/3/17,2:45:01,0,12.8784,9.901
5/3/17,3:00:01,0,12.8734,9.855
5/3/17,3:15:01,0,12.8341,9.81
5/3/17,3:30:01,0,12.8668,9.765
5/3/17,3:45:01,0,12.878,9.718
5/3/17,4:00:01,0,12.8805,9.673
5/3/17,4:15:01,0,12.8511,9.627
5/3/17,4:30:01,0,12.8514,9.58
5/3/17,4:45:01,0,12.8849,9.542
5/3/17,5:00:01,0,12.8611,9.5
5/3/17,5:15:01,0,12.8809,9.469
5/3/17,5:30:01,0,12.8833,9.439
5/3/17,5:45:01,0,12.8661,9.419
5/3/17,6:00:01,0,12.8702,9.402
5/3/17,6:15:01,0,12.8698,9.387
5/3/17,6:30:01,0,12.8409,9.364
5/3/17,6:45:01,0,12.8457,9.336
5/3/17,7:00:01,0,12.8486,9.303
5/3/17,7:15:01,0,12.8617,9.27
5/3/17,7:30:01,0,12.8331,9.241
5/3/17,7:45:01,0,12.8789,9.224
5/3/17,8:00:01,0,12.8402,9.209
5/3/17,8:15:01,0,12.8667,9.209
5/3/17,8:30:01,0,12.8444,9.214
5/3/17,8:45:01,0,12.8495,9.234
5/3/17,9:00:01,0,12.8531,9.27
5/3/17,9:15:01,0,12.8366,9.312
5/3/17,9:30:01,0,12.8448,9.346
5/3/17,9:45:01,0,12.8339,9.379
5/3/17,10:00:01,0,12.862,9.419
5/3/17,10:15:01,0,12.8184,9.465
5/3/17,10:30:01,0,12.8193,9.51
5/3/17,10:45:01,0,12.8079,9.56
5/3/17,11:00:01,0,12.8218,9.617
5/3/17,11:15:01,0,12.8086,9.687
5/3/17,11:30:01,0,12.8153,9.762
5/3/17,11:45:01,0,12.8061,9.84
5/3/17,12:00:01,0,12.7949,9.93
5/3/17,12:15:01,0,12.811,10.024
5/3/17,12:30:01,0,12.8043,10.125
5/3/17,12:45:01,0,12.8092,10.232
5/3/17,13:00:01,0,12.8049,10.344
5/3/17,13:15:01,0,12.8014,10.453
5/3/17,13:30:01,0,12.8004,10.57
5/3/17,13:45:01,0,12.7854,10.682
5/3/17,14:00:01,0,12.8163,10.801
5/3/17,14:15:01,0,12.8162,10.909
5/3/17,14:30:01,0,12.8035,11.012
5/3/17,14:45:01,0,12.7917,11.106
5/3/17,15:00:01,0,12.8121,11.185
5/3/17,15:15:01,0,12.7924,11.264
5/3/17,15:30:01,0,12.7677,11.334
5/3/17,15:45:01,0,12.777,11.42
5/3/17,16:00:01,0,12.7846,11.472
5/3/17,16:15:01,0,12.7828,11.527
5/3/17,16:30:01,0,12.7603,11.566
5/3/17,16:45:01,0,12.7795,11.612
5/3/17,17:00:01,0,12.7842,11.64
5/3/17,17:15:01,0,12.7691,11.636
5/3/17,17:30:01,0,12.7547,11.652
5/3/17,17:45:01,0,12.7898,11.655
5/3/17,18:00:01,0,12.7772,11.641
5/3/17,18:15:01,0,12.8053,11.63
5/3/17,18:30:01,0,12.7788,11.604
5/3/17,18:45:01,0,12.7863,11.563
5/3/17,19:00:01,0,12.7542,11.507
5/3/17,19:15:01,0,12.7536,11.451
5/3/17,19:30:01,0,12.7862,11.398
5/3/17,19:45:01,0,12.7959,11.35
5/3/17,20:00:01,0,12.7861,11.307
5/3/17,20:15:01,0,12.7987,11.266
5/3/17,20:30:01,0,12.818,11.223
5/3/17,20:45:01,0,12.8137,11.177
5/3/17,21:00:01,0,12.8035,11.131
5/3/17,21:15:01,0,12.8279,11.086
5/3/17,21:30:01,0,12.8651,11.043
5/3/17,21:45:01,0,12.8573,10.997
5/3/17,22:00:01,0,12.8515,10.954
5/3/17,22:15:01,0,12.9093,10.915
5/3/17,22:30:01,0,12.8876,10.874
5/3/17,22:45:01,0,12.8804,10.839
5/3/17,23:00:01,0,12.8603,10.805
5/3/17,23:15:01,0,12.9183,10.77
5/3/17,23:30:01,0,12.9175,10.736
5/3/17,23:45:01,0,12.9237,10.699
5/4/17,0:00:01,0,12.9221,10.665
5/4/17,0:15:01,0,12.9577,10.628
5/4/17,0:30:01,0,12.9577,10.592
5/4/17,0:45:01,0,12.9098,10.553
5/4/17,1:00:01,0,12.9445,10.516
5/4/17,1:15:01,0,12.9679,10.468
5/4/17,1:30:01,0,12.9484,10.419
5/4/17,1:45:01,0,12.964,10.364
5/4/17,2:00:01,0,12.9287,10.306
5/4/17,2:15:01,0,12.9733,10.251
5/4/17,2:30:01,0,12.9707,10.193
5/4/17,2:45:01,0,12.9452,10.137
5/4/17,3:00:01,0,12.9244,10.085
5/4/17,3:15:01,0,12.9383,10.031
5/4/17,3:30:01,0,12.9593,9.977
5/4/17,3:45:01,0,12.9506,9.928
5/4/17,4:00:01,0,12.9248,9.881
5/4/17,4:15:01,0,12.9553,9.834
5/4/17,4:30:01,0,12.9493,9.794
5/4/17,4:45:01,0,12.9468,9.753
5/4/17,5:00:01,0,12.9473,9.714
5/4/17,5:15:01,0,12.9398,9.677
5/4/17,5:30:01,0,12.9368,9.649
5/4/17,5:45:01,0,12.9412,9.622
5/4/17,6:00:01,0,12.949,9.599
5/4/17,6:15:01,0,12.9184,9.579
5/4/17,6:30:01,0,12.9232,9.56
5/4/17,6:45:01,0,12.9498,9.543
5/4/17,7:00:01,0,12.9302,9.529
5/4/17,7:15:01,0,12.9463,9.518
5/4/17,7:30:01,0,12.9084,9.511
5/4/17,7:45:01,0,12.9146,9.501
5/4/17,8:00:01,0,12.9267,9.497
5/4/17,8:15:01,0,12.9246,9.497
5/4/17,8:30:01,0,12.9215,9.503
5/4/17,8:45:01,0,12.9171,9.518
5/4/17,9:00:01,0,12.8938,9.549
5/4/17,9:15:01,0,12.909,9.588
5/4/17,9:30:01,0,12.9018,9.623
5/4/17,9:45:01,0,12.9098,9.659
5/4/17,10:00:01,0,12.9034,9.7
5/4/17,10:15:01,0,12.8946,9.753
5/4/17,10:30:01,0,12.8832,9.808
5/4/17,10:45:01,0,12.8696,9.866
5/4/17,11:00:01,0,12.8595,9.931
5/4/17,11:15:01,0,12.8632,10.007
5/4/17,11:30:01,0,12.8838,10.084
5/4/17,11:45:01,0,12.8813,10.164
5/4/17,12:00:01,0,12.8793,10.253
5/4/17,12:15:01,0,12.8662,10.344
5/4/17,12:30:01,0,12.8705,10.442
5/4/17,12:45:01,0,12.8292,10.542
5/4/17,13:00:01,0,12.8488,10.631
5/4/17,13:15:01,0,12.8699,10.73
5/4/17,13:30:01,0,12.8552,10.832
5/4/17,13:45:01,0,12.871,10.931
5/4/17,14:00:01,0,12.8338,11.036
5/4/17,14:15:01,0,12.8571,11.137
5/4/17,14:30:01,0,12.8319,11.222
5/4/17,14:45:01,0,12.8222,11.299
5/4/17,15:00:01,0,12.8422,11.378
5/4/17,15:15:01,0,12.8342,11.457
5/4/17,15:30:01,0,12.8565,11.525
5/4/17,15:45:01,0,12.8518,11.595
5/4/17,16:00:01,0,12.8749,11.652
5/4/17,16:15:01,0,12.8907,11.697
5/4/17,16:30:01,0,12.8717,11.728
5/4/17,16:45:01,0,12.8966,11.747
5/4/17,17:00:01,0,12.8904,11.758
5/4/17,17:15:01,0,12.8962,11.763
5/4/17,17:30:01,0,12.8909,11.756
5/4/17,17:45:01,0,12.9211,11.754
5/4/17,18:00:01,0,12.8999,11.742
5/4/17,18:15:01,0,12.9276,11.712
5/4/17,18:30:01,0,12.9352,11.662
5/4/17,18:45:01,0,12.9294,11.603
5/4/17,19:00:01,0,12.9617,11.531
5/4/17,19:15:01,0,12.9691,11.469
5/4/17,19:30:01,0,12.9484,11.41
5/4/17,19:45:01,0,12.9503,11.353
5/4/17,20:00:01,0,12.9397,11.295
5/4/17,20:15:01,0,12.9404,11.238
5/4/17,20:30:01,0,12.9363,11.184
5/4/17,20:45:01,0,12.9458,11.135
5/4/17,21:00:01,0,12.9235,11.087
5/4/17,21:15:01,0,12.9111,11.043
5/4/17,21:30:01,0,12.9163,11.004
5/4/17,21:45:01,0,12.9381,10.968
5/4/17,22:00:01,0,12.9507,10.929
5/4/17,22:15:01,0,12.9636,10.889
5/4/17,22:30:01,0,12.9596,10.853
5/4/17,22:45:01,0,12.9568,10.821
5/4/17,23:00:01,0,12.9572,10.789
5/4/17,23:15:01,0,12.939,10.758
5/4/17,23:30:01,0,12.9701,10.728
5/4/17,23:45:01,0,12.997,10.697
5/5/17,0:00:01,0,12.9856,10.665
5/5/17,0:15:01,0,12.9993,10.633
5/5/17,0:30:01,0,12.9966,10.595
5/5/17,0:45:01,0,12.9859,10.55
5/5/17,1:00:01,0,12.9914,10.504
5/5/17,1:15:01,0,13.0056,10.46
5/5/17,1:30:01,0,13.0212,10.414
5/5/17,1:45:01,0,12.979,10.361
5/5/17,2:00:01,0,12.9972,10.306
5/5/17,2:15:01,0,12.9946,10.247
5/5/17,2:30:01,0,12.9764,10.189
5/5/17,2:45:01,0,12.9877,10.131
5/5/17,3:00:01,0,12.983,10.075
5/5/17,3:15:01,0,13.0054,10.028
5/5/17,3:30:01,0,12.9816,9.983
5/5/17,3:45:01,0,12.9758,9.943
5/5/17,4:00:01,0,12.9636,9.907
5/5/17,4:15:01,0,12.9762,9.866
5/5/17,4:30:01,0,12.9655,9.825
5/5/17,4:45:01,0,12.9857,9.782
5/5/17,5:00:01,0,12.9718,9.745
5/5/17,5:15:01,0,12.9951,9.714
5/5/17,5:30:01,0,12.9621,9.689
